ASOCIACION,ACTIVIDAD,SUBVENCION EN EUROS,JUSTIFICACION REQUERIDA,JUSTIFIACACION RECIBIDA
AMPA AGORA,INTERCAMBIO DE LIBROS DE TEXTO,80,NO,NO
AMPA AGORA,JORNADA DE CONVIVENCIA,280,NO,NO
AMPA ALDEBARAN,"PREMIOS AL RENDIMIENTO, SUPERACIÓN Y CONVIVENCIA",1000,SI,NO
AMPA ALDEBARAN,ANIMACION A LA LECTURA,280,NO,NO
AMPA ALDEBARAN,PRACTICANDO IDIOMAS,259.48,NO,NO
AMPA ALDEBARAN,CONCURSO DE TARJETAS NAVIDEÑAS,160,NO,NO
AMPA ALDEBARAN,GRADUACION ALUMNOS BACHILLER,200,NO,NO
AMPA ALDEBARAN,BOLETIN INFORMATIVO,504,SI,NO
AMPA ALDEBARAN,PARTICIPACION EN FAPAS,220,NO,NO
AMPA ALDEBARAN,TORNEO DEPORTIVO ANUAL ,57,NO,NO
AMPA GINER DE LOS RIOS,CERTAMEN TARJETA NAVIDAD,823.55,SI,NO
AMPA GINER DE LOS RIOS,CERTAMEN DE RELATO Y POESIA,390,SI,NO
AMPA GINER DE LOS RIOS,BIBLIOTECA LIBROS LECTURA INGLES,290,NO,NO
AMPA GINER DE LOS RIOS,TALLER PERCUSION,320,SI,NO
AMPA GINER DE LOS RIOS,CERTAMEN ENSAYO FILOSOFICO RAQUEL PUSZKIN,140,NO,NO
AMPA GINER DE LOS RIOS,CERTAMEN RELATOS ALEMAN,130,NO,NO
AMPA GINER DE LOS RIOS,CERTAMEN POETICO EN LENGUA INGLESA,100,NO,NO
AMPA GINER DE LOS RIOS,CEREMONIA GRADUACION BACHILLERATO,290,NO,NO
AMPA GINER DE LOS RIOS,LIBRO DE RELATO Y POESIAS,390,SI,NO
AMPA GINER DE LOS RIOS,PARTICIPACION FAPA ALCOBENDAS Y FAPA MADRID,270,NO,NO
AMPA GINER DE LOS RIOS,BOLETIN ANUAL ATIVIDADES AMPA,240,NO,NO
AMPA SEVERO OCHOA,TALLER DE MOTIVACION Y AUTOESTIMA,309.61,SI,NO
AMPA SEVERO OCHOA,TALLER DE TECNICAS DE ESTUDIO,140,NO,NO
AMPA SEVERO OCHOA,EXPOSICION Y EDICION ALBUM EEUU,609,SI,NO
AMPA SEVERO OCHOA,INTERCAMBIO FRANCIA Y EXPOSICION,60,NO,NO
AMPA SEVERO OCHOA,OCIO EN FAMILIA,876,SI,NO
AMPA SEVERO OCHOA,GRADUACION CICLOS Y BACHILLERATOS,376,SI,NO
AMPA SEVERO OCHOA,CAPTACION NUEVOS SOCIOS Y DIFUSION DEL PROYECTO,912,SI,NO
AMPA SEVERO OCHOA,TORNEO DE AJEDREZ,57,NO,NO
AMPA VIRGEN DE LA PAZ,JORNADA LUDICO EDUCATIVA FIN DE CURSO,942.92,SI,NO
AMPA VIRGEN DE LA PAZ,JORNADA 30 ANIVERSARIO + ACTO GRADUACION,209,NO,NO
AMPA VIRGEN DE LA PAZ,DIFUSION E INFORMACION 30 ANIVERSARIO,232,NO,NO
AMPA VIRGEN DE LA PAZ,RECRE-JORNADAS DEPORTIVAS,198,NO,NO
AMPA GREENWICH SCHOOL,CONCURSO VIRGEN DE LA PAZ,175.55,NO,NO
AMPA GREENWICH SCHOOL,EXCURSION ATAPUERCA,1518,SI,NO
AMPA GREENWICH SCHOOL,CONCURSO DE NAVIDAD,350,SI,NO
AMPA GREENWICH SCHOOL,TEATRO EN FAMILIA,170.95,NO,NO
AMPA GREENWICH SCHOOL,VISITA AL TEATRO REAL,165,NO,NO
AMPA SAN ANTONIO,ZOO AQUARIUM DE MADRID,1000,SI,NO
AMPA SAN ANTONIO,VISITA A LA CAÑADA REAL,897.4,SI,NO
AMPA SAN ANTONIO,FIESTA FIN DE CURSO,80,NO,NO
AMPA PADRE MANYANET,FERIA DE LA SEMANA CULTURAL,800,SI,NO
AMPA PADRE MANYANET,FERIA ROBOTICA,720,SI,NO
AMPA PADRE MANYANET,BIBLIOTECA INGLES ESO,808.94,SI,NO
AMPA FAPA,JORNADA FAPA-AMPAS: ENCUENTROS DE PARTICIPACION,760,SI,NO
AMPA FAPA,"REVISTA DE LA FEDERACION ""LA ESCUELA EN ALCOBENDAS""",1040,SI,NO
AMPA FAPA,"CONCURSO FOTOGRAFIA ""TE VEO LEER…EN ALCOBENDAS""",800,SI,NO
AMPA FAPA,EXPOSICION FOTOGRAFICA TRABAJOS CONCURSO,344.13,SI,NO
